,benchmark,cpu,mode1,mode2,target
1495,EP,11730.067474365234,C-states Off,normal,cstates_normal_EP_B_1_96
1493,EP,11735.094818115234,C-states Off,normal,cstates_normal_EP_B_1_94
1492,EP,11612.179138183594,C-states Off,normal,cstates_normal_EP_B_1_93
1491,EP,11620.993743896484,C-states Off,normal,cstates_normal_EP_B_1_92
1490,EP,11625.76254272461,C-states Off,normal,cstates_normal_EP_B_1_91
1489,EP,11619.822784423828,C-states Off,normal,cstates_normal_EP_B_1_90
1488,EP,11618.617095947266,C-states Off,normal,cstates_normal_EP_B_1_89
1487,EP,11601.05340576172,C-states Off,normal,cstates_normal_EP_B_1_88
1486,EP,11606.703826904297,C-states Off,normal,cstates_normal_EP_B_1_87
1494,EP,11736.18246459961,C-states Off,normal,cstates_normal_EP_B_1_95
350,LU,6746.821014404297,C-states Off,normal,cstates_normal_LU_C_64_50p_54
224,LU,6512.575775146484,C-states Off,normal,cstates_normal_LU_C_64_25
226,LU,6727.7626953125,C-states Off,normal,cstates_normal_LU_C_64_27
862,CG,1982.5443115234373,C-states Off,normal,cstates_normal_CG_C_32_63
861,CG,1996.091857910156,C-states Off,normal,cstates_normal_CG_C_32_62
860,CG,1996.03759765625,C-states Off,normal,cstates_normal_CG_C_32_61
859,CG,2146.000305175781,C-states Off,normal,cstates_normal_CG_C_32_60
858,CG,1990.7258605957031,C-states Off,normal,cstates_normal_CG_C_32_59
857,CG,1997.03369140625,C-states Off,normal,cstates_normal_CG_C_32_58
856,CG,1975.5965270996094,C-states Off,normal,cstates_normal_CG_C_32_57
855,CG,1991.620178222656,C-states Off,normal,cstates_normal_CG_C_32_56
854,CG,1995.427734375,C-states Off,normal,cstates_normal_CG_C_32_55
853,CG,1975.1949768066406,C-states Off,normal,cstates_normal_CG_C_32_54
852,CG,1991.674743652344,C-states Off,normal,cstates_normal_CG_C_32_53
851,CG,1995.0539855957031,C-states Off,normal,cstates_normal_CG_C_32_52
850,CG,1977.7236633300781,C-states Off,normal,cstates_normal_CG_C_32_51
849,CG,1993.6466064453125,C-states Off,normal,cstates_normal_CG_C_32_50
848,CG,1996.0780029296875,C-states Off,normal,cstates_normal_CG_C_32_49
847,CG,1983.4368286132806,C-states Off,normal,cstates_normal_CG_C_32_48
846,CG,1989.9733276367188,C-states Off,normal,cstates_normal_CG_C_32_47
863,CG,1997.0460510253906,C-states Off,normal,cstates_normal_CG_C_32_64
864,CG,1993.4039611816406,C-states Off,normal,cstates_normal_CG_C_32_65
865,CG,2154.9078674316406,C-states Off,normal,cstates_normal_CG_C_32_66
866,CG,1993.785217285156,C-states Off,normal,cstates_normal_CG_C_32_67
884,CG,1995.0229797363281,C-states Off,normal,cstates_normal_CG_C_32_85
883,CG,2146.0357971191406,C-states Off,normal,cstates_normal_CG_C_32_84
882,CG,1989.728942871093,C-states Off,normal,cstates_normal_CG_C_32_83
881,CG,1995.1753234863281,C-states Off,normal,cstates_normal_CG_C_32_82
880,CG,2150.4625549316406,C-states Off,normal,cstates_normal_CG_C_32_81
879,CG,1989.1114196777344,C-states Off,normal,cstates_normal_CG_C_32_80
878,CG,1996.1045837402344,C-states Off,normal,cstates_normal_CG_C_32_79
877,CG,1982.6207885742188,C-states Off,normal,cstates_normal_CG_C_32_78
845,CG,1976.3624572753906,C-states Off,normal,cstates_normal_CG_C_32_46
876,CG,1994.3722534179688,C-states Off,normal,cstates_normal_CG_C_32_77
874,CG,1992.3880004882806,C-states Off,normal,cstates_normal_CG_C_32_75
873,CG,2147.7706909179688,C-states Off,normal,cstates_normal_CG_C_32_74
872,CG,1993.3032531738281,C-states Off,normal,cstates_normal_CG_C_32_73
871,CG,1995.5761413574216,C-states Off,normal,cstates_normal_CG_C_32_72
870,CG,2149.6207885742188,C-states Off,normal,cstates_normal_CG_C_32_71
869,CG,1994.1282348632806,C-states Off,normal,cstates_normal_CG_C_32_70
868,CG,1995.1186218261719,C-states Off,normal,cstates_normal_CG_C_32_69
867,CG,1979.1751098632806,C-states Off,normal,cstates_normal_CG_C_32_68
875,CG,1994.1932678222656,C-states Off,normal,cstates_normal_CG_C_32_76
844,CG,1989.7141418457031,C-states Off,normal,cstates_normal_CG_C_32_45
843,CG,2140.8482360839844,C-states Off,normal,cstates_normal_CG_C_32_44
842,CG,1980.8550720214844,C-states Off,normal,cstates_normal_CG_C_32_43
819,CG,1983.484313964844,C-states Off,normal,cstates_normal_CG_C_32_20
818,CG,1988.3747863769531,C-states Off,normal,cstates_normal_CG_C_32_19
817,CG,1971.488708496093,C-states Off,normal,cstates_normal_CG_C_32_18
816,CG,1987.4819030761719,C-states Off,normal,cstates_normal_CG_C_32_17
815,CG,1989.838317871093,C-states Off,normal,cstates_normal_CG_C_32_16
