,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,bench,class,Nbprocess,y_ax,RAPL_ENERGY_PKG_BOTH
209,normal_test_CG_C_32_4,208.91204833984375,101.896484375,1629.6526489257812,1255.5626525878906,2019-08-01 08:31:57.036,2019-08-01 08:32:10.047,4,3196.0238342285156,6392.047668457031,Dahu25,13.011,228.28741673060827,normal,CG,C,32,normal,2885.215301513672
256,normal_test_CG_C_32_5,90.25421905517578,210.89369201660156,1511.1861572265625,1604.2751770019531,2019-08-01 08:32:13.052,2019-08-01 08:32:26.064,5,3416.609245300293,6833.218490600586,Dahu25,13.012,244.0435175214495,normal,CG,C,32,normal,3115.4613342285156
302,normal_test_CG_C_32_6,83.87744140625,195.1699676513672,1402.5947570800781,1488.4871826171875,2019-08-01 08:32:29.068,2019-08-01 08:32:41.080,6,3170.129348754883,6340.258697509766,Dahu25,12.012,243.8561037503756,normal,CG,C,32,normal,2891.0819396972656
347,normal_test_CG_C_32_7,90.13788604736328,196.53787994384766,1437.0430908203125,1489.9424133300781,2019-08-01 08:32:45.088,2019-08-01 08:32:57.099,7,3213.6612701416016,6427.322540283203,Dahu25,12.011,247.2047130878155,normal,CG,C,32,normal,2926.9855041503906
389,normal_test_CG_C_32_8,210.45403289794922,97.14160919189453,1634.3009338378906,1240.42724609375,2019-08-01 08:33:00.104,2019-08-01 08:33:13.117,8,3182.3238220214844,6364.647644042969,Dahu25,13.013,227.30884443010603,normal,CG,C,32,normal,2874.7281799316406
435,normal_test_CG_C_32_9,90.46825408935547,209.31265258789062,1481.1866455078125,1587.7437438964844,2019-08-01 08:33:16.122,2019-08-01 08:33:29.133,9,3368.711296081543,6737.422592163086,Dahu25,13.011,240.62223543439592,normal,CG,C,32,normal,3068.930389404297
481,normal_test_CG_C_32_10,90.57913970947266,209.5739288330078,1534.4044494628906,1601.7768249511719,2019-08-01 08:33:32.139,2019-08-01 08:33:45.148,10,3436.334342956543,6872.668685913086,Dahu25,13.009,245.4524530683245,normal,CG,C,32,normal,3136.1812744140625
528,normal_test_CG_C_32_11,95.50193786621094,192.84027862548828,1452.5693359375,1470.900390625,2019-08-01 08:33:48.153,2019-08-01 08:34:00.164,11,3211.811943054199,6423.623886108398,Dahu25,12.011,247.06245715801532,normal,CG,C,32,normal,2923.4697265625
572,normal_test_CG_C_32_12,91.00235748291016,196.65990447998047,1458.7161560058594,1491.2425231933594,2019-08-01 08:34:04.170,2019-08-01 08:34:16.181,12,3237.6209411621094,6475.241882324219,Dahu25,12.011,249.04776470477765,normal,CG,C,32,normal,2949.9586791992188
615,normal_test_CG_C_32_13,211.63648986816406,101.54855346679688,1633.1175231933594,1266.0530700683594,2019-08-01 08:34:19.186,2019-08-01 08:34:32.203,13,3212.3556365966797,6424.711273193359,Dahu25,13.017,229.45397404262,normal,CG,C,32,normal,2899.1705932617188
662,normal_test_CG_C_32_14,94.70856475830078,163.18714904785156,1248.712158203125,1241.8561706542969,2019-08-01 08:34:35.208,2019-08-01 08:34:45.217,14,2748.464042663574,5496.928085327148,Dahu25,10.009,249.86036751487038,normal,CG,C,32,normal,2490.568328857422
699,normal_test_CG_C_32_15,91.68660736083984,210.9576416015625,1555.3485412597656,1603.3528747558594,2019-08-01 08:34:48.222,2019-08-01 08:35:01.234,15,3461.3456649780273,6922.691329956055,Dahu25,13.012,247.2389760698591,normal,CG,C,32,normal,3158.701416015625
744,normal_test_CG_C_32_16,212.50814819335938,101.02031707763672,1631.4024963378906,1242.7454528808594,2019-08-01 08:35:04.238,2019-08-01 08:35:17.256,16,3187.676414489746,6375.352828979492,Dahu25,13.018,227.6911724635533,normal,CG,C,32,normal,2874.14794921875
790,normal_test_CG_C_32_17,91.18492126464844,195.4434585571289,1446.0880126953125,1486.8943481445312,2019-08-01 08:35:20.261,2019-08-01 08:35:32.271,17,3219.610740661621,6439.221481323242,Dahu25,12.01,247.66236466627853,normal,CG,C,32,normal,2932.9823608398438
