,target,sensor,benchmark,mode,mode2,number,cpu
128,normal_normal_LU_C_64_35,runningmodesxDahu25,LU,normal,normal,35,6755.8084716796875
129,normal_normal_LU_C_64_36,runningmodesxDahu25,LU,normal,normal,36,6750.107269287109
130,normal_normal_LU_C_64_37,runningmodesxDahu25,LU,normal,normal,37,6507.813537597656
131,normal_normal_LU_C_64_38,runningmodesxDahu25,LU,normal,normal,38,6735.031524658203
132,normal_normal_LU_C_64_39,runningmodesxDahu25,LU,normal,normal,39,6988.000244140625
133,normal_normal_LU_C_64_4,runningmodesxDahu25,LU,normal,normal,4,6724.912628173828
134,normal_normal_LU_C_64_40,runningmodesxDahu25,LU,normal,normal,40,6757.870666503906
135,normal_normal_LU_C_64_41,runningmodesxDahu25,LU,normal,normal,41,6725.335510253906
136,normal_normal_LU_C_64_42,runningmodesxDahu25,LU,normal,normal,42,6507.236145019531
137,normal_normal_LU_C_64_43,runningmodesxDahu25,LU,normal,normal,43,6717.264190673828
138,normal_normal_LU_C_64_44,runningmodesxDahu25,LU,normal,normal,44,6503.562042236328
139,normal_normal_LU_C_64_45,runningmodesxDahu25,LU,normal,normal,45,6723.049255371094
140,normal_normal_LU_C_64_46,runningmodesxDahu25,LU,normal,normal,46,6743.915130615234
141,normal_normal_LU_C_64_47,runningmodesxDahu25,LU,normal,normal,47,6505.025299072266
142,normal_normal_LU_C_64_48,runningmodesxDahu25,LU,normal,normal,48,6747.785949707031
143,normal_normal_LU_C_64_49,runningmodesxDahu25,LU,normal,normal,49,6509.902648925781
144,normal_normal_LU_C_64_5,runningmodesxDahu25,LU,normal,normal,5,6741.861541748047
145,normal_normal_LU_C_64_50,runningmodesxDahu25,LU,normal,normal,50,6711.884857177734
146,normal_normal_LU_C_64_6,runningmodesxDahu25,LU,normal,normal,6,6505.955993652344
147,normal_normal_LU_C_64_7,runningmodesxDahu25,LU,normal,normal,7,6725.9893798828125
148,normal_normal_LU_C_64_8,runningmodesxDahu25,LU,normal,normal,8,6748.700775146484
149,normal_normal_LU_C_64_9,runningmodesxDahu25,LU,normal,normal,9,6507.427337646484
150,normal_reboot_CG_C_32_1,runningmodesxDahu25,CG,normal,reboot,1,1771.5106201171875
151,normal_reboot_CG_C_32_10,runningmodesxDahu25,CG,normal,reboot,10,1935.482482910156
152,normal_reboot_CG_C_32_11,runningmodesxDahu25,CG,normal,reboot,11,1787.1386108398438
153,normal_reboot_CG_C_32_12,runningmodesxDahu25,CG,normal,reboot,12,1790.3551635742188
154,normal_reboot_CG_C_32_13,runningmodesxDahu25,CG,normal,reboot,13,1788.2527465820312
155,normal_reboot_CG_C_32_14,runningmodesxDahu25,CG,normal,reboot,14,1788.9114379882812
156,normal_reboot_CG_C_32_15,runningmodesxDahu25,CG,normal,reboot,15,1788.260986328125
157,normal_reboot_CG_C_32_16,runningmodesxDahu25,CG,normal,reboot,16,1786.1972045898438
158,normal_reboot_CG_C_32_17,runningmodesxDahu25,CG,normal,reboot,17,1783.6702575683594
159,normal_reboot_CG_C_32_18,runningmodesxDahu25,CG,normal,reboot,18,1781.636962890625
160,normal_reboot_CG_C_32_19,runningmodesxDahu25,CG,normal,reboot,19,1784.2956237792969
161,normal_reboot_CG_C_32_2,runningmodesxDahu25,CG,normal,reboot,2,1963.456817626953
162,normal_reboot_CG_C_32_20,runningmodesxDahu25,CG,normal,reboot,20,1778.391845703125
163,normal_reboot_CG_C_32_21,runningmodesxDahu25,CG,normal,reboot,21,1778.44580078125
164,normal_reboot_CG_C_32_22,runningmodesxDahu25,CG,normal,reboot,22,1783.4172058105469
165,normal_reboot_CG_C_32_23,runningmodesxDahu25,CG,normal,reboot,23,1782.2230224609375
166,normal_reboot_CG_C_32_24,runningmodesxDahu25,CG,normal,reboot,24,1777.3313903808594
167,normal_reboot_CG_C_32_25,runningmodesxDahu25,CG,normal,reboot,25,1785.7652282714844
168,normal_reboot_CG_C_32_26,runningmodesxDahu25,CG,normal,reboot,26,1929.7034606933594
169,normal_reboot_CG_C_32_27,runningmodesxDahu25,CG,normal,reboot,27,1965.7983093261719
170,normal_reboot_CG_C_32_28,runningmodesxDahu25,CG,normal,reboot,28,1778.3615112304688
171,normal_reboot_CG_C_32_29,runningmodesxDahu25,CG,normal,reboot,29,1777.8531188964844
172,normal_reboot_CG_C_32_3,runningmodesxDahu25,CG,normal,reboot,3,1785.4037475585938
173,normal_reboot_CG_C_32_30,runningmodesxDahu25,CG,normal,reboot,30,1780.621826171875
174,normal_reboot_CG_C_32_31,runningmodesxDahu25,CG,normal,reboot,31,1778.3009643554688
175,normal_reboot_CG_C_32_32,runningmodesxDahu25,CG,normal,reboot,32,1785.2067260742188
176,normal_reboot_CG_C_32_33,runningmodesxDahu25,CG,normal,reboot,33,1774.8917846679688
177,normal_reboot_CG_C_32_34,runningmodesxDahu25,CG,normal,reboot,34,1926.4373474121094
178,normal_reboot_CG_C_32_35,runningmodesxDahu25,CG,normal,reboot,35,1780.3839416503906
179,normal_reboot_CG_C_32_36,runningmodesxDahu25,CG,normal,reboot,36,1920.3480834960935
180,normal_reboot_CG_C_32_37,runningmodesxDahu25,CG,normal,reboot,37,1897.4997253417969
181,normal_reboot_CG_C_32_38,runningmodesxDahu25,CG,normal,reboot,38,1765.089111328125
