,Unnamed: 0,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_DRAM_all,RAPL_ENERGY_PKG_all,machineName,time,powers_av_all,type,methode,bench,class,Nbprocess,y_ax
30,3208,normal_normal_LU_C_64_31,363.14684295654297,369.0714874267578,3368.397247314453,3374.978240966797,2019-06-07 09:32:36.262,2019-06-07 09:33:03.291,31,732.2183303833008,6743.37548828125,allmodes,27.029,240.8348388671875,normal,normal,LU,C,64,normal normal
31,3296,normal_normal_LU_C_64_32,361.73714447021484,369.0441284179688,3369.407684326172,3374.520965576172,2019-06-07 09:33:06.296,2019-06-07 09:33:33.325,32,730.7812728881836,6743.928649902344,allmodes,27.029,240.85459463936942,normal,normal,LU,C,64,normal normal
32,3384,normal_normal_LU_C_64_33,374.5587005615234,357.85894775390625,3377.489532470703,3382.7359008789062,2019-06-07 09:33:36.331,2019-06-07 09:34:03.358,33,732.4176483154297,6760.225433349609,allmodes,27.026999999999997,241.4366226196289,normal,normal,LU,C,64,normal normal
33,3472,normal_normal_LU_C_64_34,356.73339080810547,370.86009216308594,3360.845092773437,3368.770538330078,2019-06-07 09:34:06.363,2019-06-07 09:34:33.392,34,727.5934829711914,6729.615631103516,allmodes,27.029,240.34341539655412,normal,normal,LU,C,64,normal normal
34,3561,normal_normal_LU_C_64_35,361.40919494628906,373.72208404541016,3362.1919555664062,3369.233917236328,2019-06-07 09:34:36.397,2019-06-07 09:35:03.427,35,735.1312789916992,6731.425872802734,allmodes,27.03,240.40806688581196,normal,normal,LU,C,64,normal normal
35,3648,normal_normal_LU_C_64_36,349.6217575073242,359.02618408203125,3255.887725830078,3259.78076171875,2019-06-07 09:35:06.432,2019-06-07 09:35:32.462,36,708.6479415893555,6515.668487548828,allmodes,26.03,241.321055094401,normal,normal,LU,C,64,normal normal
36,3736,normal_normal_LU_C_64_37,350.3079528808594,359.5289459228516,3254.5584106445312,3256.376251220703,2019-06-07 09:35:36.467,2019-06-07 09:36:02.495,37,709.8368988037109,6510.934661865234,allmodes,26.028000000000002,241.14572821723092,normal,normal,LU,C,64,normal normal
37,3820,normal_normal_LU_C_64_38,357.4802932739258,371.0246047973633,3362.8687133789062,3368.169586181641,2019-06-07 09:36:05.501,2019-06-07 09:36:32.529,38,728.5048980712891,6731.038299560547,allmodes,27.028000000000002,240.39422498430525,normal,normal,LU,C,64,normal normal
38,3909,normal_normal_LU_C_64_39,359.96984100341797,370.7897720336914,3367.212646484375,3372.077850341797,2019-06-07 09:36:35.534,2019-06-07 09:37:02.566,39,730.7596130371094,6739.290496826172,allmodes,27.031999999999996,240.68894631522042,normal,normal,LU,C,64,normal normal
39,3997,normal_normal_LU_C_64_40,348.0363311767578,359.6608657836914,3255.862518310547,3258.3253173828125,2019-06-07 09:37:05.572,2019-06-07 09:37:31.601,40,707.6971969604492,6514.187835693359,allmodes,26.029,241.2662161367911,normal,normal,LU,C,64,normal normal
40,4083,normal_normal_LU_C_64_41,348.1256790161133,356.6722640991211,3257.120819091797,3258.9109497070312,2019-06-07 09:37:35.608,2019-06-07 09:38:01.637,41,704.7979431152344,6516.031768798828,allmodes,26.029,241.33450995551212,normal,normal,LU,C,64,normal normal
41,4168,normal_normal_LU_C_64_42,357.82196044921875,369.9624252319336,3360.212127685547,3368.0924682617188,2019-06-07 09:38:04.643,2019-06-07 09:38:31.670,42,727.7843856811522,6728.304595947266,allmodes,27.026999999999997,240.29659271240237,normal,normal,LU,C,64,normal normal
42,4257,normal_normal_LU_C_64_43,358.13805389404297,370.3870620727539,3359.7863159179688,3367.6264038085938,2019-06-07 09:38:34.675,2019-06-07 09:39:01.704,43,728.5251159667969,6727.4127197265625,allmodes,27.029,240.2647399902344,normal,normal,LU,C,64,normal normal
43,4344,normal_normal_LU_C_64_44,357.9219055175781,371.85823822021484,3371.6753540039062,3376.9963989257812,2019-06-07 09:39:04.710,2019-06-07 09:39:31.738,44,729.780143737793,6748.6717529296875,allmodes,27.028000000000002,241.02399117606026,normal,normal,LU,C,64,normal normal
44,4432,normal_normal_LU_C_64_45,360.8260040283203,373.8179321289063,3375.4732360839844,3379.9893188476562,2019-06-07 09:39:34.743,2019-06-07 09:40:01.773,45,734.6439361572266,6755.462554931641,allmodes,27.03,241.2665198189872,normal,normal,LU,C,64,normal normal
